,pred,std,lat,lon
0,1.14201,0.602844,34.5,72.25
1,1.0392219,0.5966553,34.75,72.25
2,0.94220257,0.6058238,34.25,72.5
3,0.7316684,0.60158473,34.5,72.5
4,1.2021964,0.5853139,34.75,72.5
5,1.5446053,0.5587594,35.0,72.5
6,1.2006372,0.5607005,35.75,72.5
7,0.8505061,0.5598281,36.0,72.5
8,0.6908227,0.56475806,36.25,72.5
9,0.7863075,0.60470253,34.0,72.75
10,1.1518371,0.5914231,34.25,72.75
11,1.4549583,0.58360183,34.5,72.75
12,1.372794,0.57389486,34.75,72.75
13,1.2045677,0.563548,35.0,72.75
14,1.0402905,0.5517487,35.25,72.75
15,1.013345,0.5509492,35.5,72.75
16,0.90497243,0.55652225,35.75,72.75
17,0.9569286,0.56173575,36.0,72.75
18,0.81249446,0.5561935,36.25,72.75
19,0.9098916,0.55231965,36.5,72.75
20,0.9445079,0.6054057,34.0,73.0
21,0.9606401,0.59266776,34.25,73.0
22,1.1345458,0.59462684,34.5,73.0
23,1.945195,0.5700162,34.75,73.0
24,1.0704472,0.57532334,35.0,73.0
25,1.2306176,0.5606253,35.25,73.0
26,1.2280527,0.5555484,35.5,73.0
27,0.85432684,0.56287706,35.75,73.0
28,0.69491994,0.566776,36.0,73.0
29,0.71304166,0.56203663,36.25,73.0
30,0.6106923,0.5717186,36.5,73.0
31,0.60779476,0.5584481,36.75,73.0
32,0.74646837,0.61472714,34.0,73.25
33,1.0897357,0.5893181,34.25,73.25
34,0.94036037,0.5817524,34.5,73.25
35,0.9799508,0.5682038,34.75,73.25
36,1.0577887,0.55605,35.0,73.25
37,0.9627212,0.5526615,35.25,73.25
38,1.2902931,0.55062467,35.5,73.25
39,0.9527117,0.5515202,35.75,73.25
40,0.8438381,0.56785935,36.0,73.25
41,0.75457036,0.5580919,36.25,73.25
42,0.9242309,0.56681675,36.5,73.25
43,0.5551693,0.58124745,36.75,73.25
44,1.0752923,0.5890522,34.0,73.5
45,0.7573556,0.5843309,34.25,73.5
46,1.5435687,0.56370217,34.75,73.5
47,1.1431032,0.56645584,35.0,73.5
48,0.7827357,0.55553085,35.25,73.5
49,1.2258753,0.55271804,35.5,73.5
50,0.6584301,0.5542625,35.75,73.5
51,0.99676293,0.5566001,36.0,73.5
